0,1,2
2051 NFB DIKEY DERIN DONDURUCU,3,33200.0
2451 YATAY DONDURUCU,2,27500.0
2104 YATAY DONDURUCU,1,6750.0
2298 J JOKER YATAY DONDURUCU,2,21800.0
215/75R16C 113R CARRIER,4,12500.0
195/65R15 91V CİNTAS,2,3750.0
205/55R16 91V CİNT AS,12,25000.0
295/80R 22.5 TR:01s,7,67083.33
435/50 R 19.5 TLM+S FRT ST:01,2,21666.67
385/55R 22.5 ST:01B (M+S),10,104166.65000000001
215/75R16C W-CARRIER,4,12500.0
385/65R 22.5 (M+S) ST25,1,8750.0
225/75 R 17.5 TL M+S  TR85,4,20833.33
285/70R19.5TL M+S FR:01,2,15833.33
195/65R15 91H CINT.P1 Verde,4,6666.67
315/70 R 22.5 TL M+S TR01S,8,81666.66
205/55 R16 91V P7,14,28750.0
215/75R17.5 M+S F.STEE,2,6250.0
235/75R17.5 M+S F.STEE,2,8333.33
"235/75R17,5 M+S A.PROD",3,12500.0
315/70 R 22.5 TL M+S  FH:01Y,2,20000.0
"235/75R17,5 F.DRİVE",2,8750.0
"385/65R22,5 164K M+S R02",6,53653.86
"385/65R22,5 M+S A.PRTS",2,13008.78
235/75R17.5  (M+S) R02 STEER,7,36666.67
235/75R17.5  (M+S) R02 PFD,4,21250.0
